Abkhazia
Afghanistan
Akrotiri and Dhekelia
Albania
Algeria
American Samoa
Andorra
Angola
Anguilla
Antigua and Barbuda
Argentina
Armenia
Aruba
Australia
Austria
Azerbaijan
Bahamas
Bahrain
Bangladesh
Barbados
Belarus
Belgium
Belize
Benin
Bermuda
Bhutan
Bolivia
Bosnia and Herzegovina
Botswana
Brazil
British Virgin Islands
Brunei
Bulgaria
Burkina Faso
Burundi
Cambodia
Cameroon
Canada
Cape Verde
Cayman Islands
Central African Republic
Chad
Channel Islands
Chile
China
Christmas Island
Cocos Island
Colombia
Comoros
"Congo, Dem. Rep."
"Congo, Rep."
Cook Is
Costa Rica
Cote d'Ivoire
Croatia
Cuba
Cyprus
Czech Republic
Czechoslovakia
Denmark
Djibouti
Dominica
Dominican Republic
East Germany
Ecuador
Egypt
El Salvador
Equatorial Guinea
Eritrea
Eritrea and Ethiopia
Estonia
Ethiopia
Faeroe Islands
Falkland Is (Malvinas)
Fiji
Finland
France
French Guiana
French Polynesia
Gabon
Gambia
Georgia
Germany
Ghana
Gibraltar
Greece
Greenland
Grenada
Guadeloupe
Guam
Guatemala
Guernsey
Guinea
Guinea-Bissau
Guyana
Haiti
Holy See
Honduras
"Hong Kong, China"
Hungary
Iceland
India
Indonesia
Iran
Iraq
Ireland
Isle of Man
Israel
Italy
Jamaica
Japan
Jersey
Jordan
Kazakhstan
Kenya
Kiribati
North Korea
South Korea
United Korea (former)
Kosovo
Kuwait
Kyrgyz Republic
Lao
Latvia
Lebanon
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
"Macao, China"
"Macedonia, FYR"
Madagascar
Malawi
Malaysia
Maldives
Mali
Malta
Marshall Islands
Martinique
Mauritania
Mauritius
Mayotte
Mexico
"Micronesia, Fed. Sts."
Moldova
Monaco
Mongolia
Montenegro
Montserrat
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherlands
Netherlands Antilles
New Caledonia
New Zealand
Ngorno-Karabakh
Nicaragua
Niger
Nigeria
Niue
Norfolk Island
Northern Cyprus
Northern Mariana Islands
Norway
Oman
Pakistan
Palau
Panama
Papua New Guinea
Paraguay
Peru
Philippines
Pitcairn
Poland
Portugal
Puerto Rico
Qatar
Reunion
Romania
Russia
Rwanda
St. Barthélemy
St. Helena
St. Kitts and Nevis
St. Lucia
St. Martin
St. Vincent and the Grenadines
St.-Pierre-et-Miquelon
Samoa
San Marino
Sao Tome and Principe
Saudi Arabia
Senegal
Serbia
Serbia and Montenegro
Serbia excluding Kosovo
Seychelles
Sierra Leone
Singapore
Slovak Republic
Slovenia
Solomon Islands
Somalia
Somaliland
South Africa
South Ossetia
Spain
Sri Lanka
Sudan
Suriname
Svalbard
Swaziland
Sweden
Switzerland
Syria
Taiwan
Tajikistan
Tanzania
Thailand
Timor-Leste
Togo
Tokelau
Tonga
Transnistria
Trinidad and Tobago
Tunisia
Turkey
Turkmenistan
Turks and Caicos Islands
Tuvalu
Uganda
Ukraine
United Arab Emirates
United Kingdom
United States
Uruguay
USSR
Uzbekistan
Wallis et Futuna
Vanuatu
Venezuela
West Bank and Gaza
West Germany
Western Sahara
Vietnam
Virgin Islands (U.S.)
North Yemen (former)
South Yemen (former)
Yemen
Yugoslavia
Zambia
Zimbabwe
Åland
South Sudan
Curaçao
Sint Maarten (Dutch part)
St. Martin (French part)
Antarctica
Bouvet Island
British Indian Ocean Territory
Clipperton
French Southern and Antarctic Lands
Gaza Strip
Heard and McDonald Islands
Northern Marianas
South Georgia and the South Sandwich Islands
US Minor Outlying Islands
Virgin Islands
West Bank
